13,19,
0,0,N
0,1,M
0,2,M
0,3,M
0,4,M
0,5,M
0,6,M
0,7,M
0,8,M
0,9,M
0,10,M
0,11,M
0,12,M
0,13,M
0,14,M
0,15,M
0,16,M
0,17,M
0,18,N
1,0,N
1,1,M
1,2,R
1,3,R
1,4,R
1,5,V
1,6,V
1,7,V
1,8,M
1,9,V
1,10,V
1,11,V
1,12,V
1,13,M
1,14,V
1,15,V
1,16,V
1,17,M
1,18,M
2,0,M
2,1,M
2,2,R
2,3,R
2,4,R
2,5,R
2,6,R
2,7,V
2,8,V
2,9,C
2,10,M
2,11,M
2,12,V
2,13,M
2,14,V
2,15,M
2,16,C
2,17,V
2,18,M
3,0,M
3,1,R
3,2,R
3,3,R
3,4,R
3,5,R
3,6,R
3,7,M
3,8,V
3,9,V
3,10,C
3,11,V
3,12,V
3,13,M
3,14,V
3,15,V
3,16,V
3,17,V
3,18,M
4,0,M
4,1,R
4,2,R
4,3,R
4,4,R
4,5,R
4,6,R
4,7,M
4,8,V
4,9,V
4,10,M
4,11,V
4,12,V
4,13,M
4,14,V
4,15,M
4,16,V
4,17,V
4,18,M
5,0,M
5,1,M
5,2,M
5,3,M
5,4,M
5,5,M
5,6,M
5,7,M
5,8,M
5,9,V
5,10,C
5,11,V
5,12,V
5,13,C
5,14,V
5,15,C
5,16,V
5,17,V
5,18,M
6,0,N
6,1,N
6,2,M
6,3,V
6,4,V
6,5,V
6,6,V
6,7,V
6,8,M
6,9,C
6,10,M
6,11,M
6,12,C
6,13,V
6,14,M
6,15,M
6,16,C
6,17,M
6,18,M
7,0,N
7,1,M
7,2,M
7,3,V
7,4,V
7,5,V
7,6,C
7,7,V
7,8,V
7,9,V
7,10,V
7,11,M
7,12,V
7,13,C
7,14,V
7,15,V
7,16,V
7,17,V
7,18,M
8,0,N
8,1,M
8,2,V
8,3,V
8,4,M
8,5,M
8,6,V
8,7,M
8,8,M
8,9,M
8,10,V
8,11,M
8,12,V
8,13,V
8,14,M
8,15,M
8,16,C
8,17,V
8,18,M
9,0,N
9,1,M
9,2,V
9,3,C
9,4,V
9,5,C
9,6,C
9,7,V
9,8,V
9,9,V
9,10,V
9,11,V
9,12,C
9,13,V
9,14,V
9,15,C
9,16,V
9,17,V
9,18,M
10,0,N
10,1,M
10,2,V
10,3,C
10,4,V
10,5,V
10,6,V
10,7,V
10,8,C
10,9,M
10,10,M
10,11,C
10,12,V
10,13,M
10,14,M
10,15,M
10,16,M
10,17,M
10,18,M
11,0,N
11,1,M
11,2,M
11,3,M
11,4,M
11,5,M
11,6,M
11,7,M
11,8,V
11,9,V
11,10,J
11,11,V
11,12,M
11,13,M
11,14,N
11,15,N
11,16,N
11,17,N
11,18,N
12,0,N
12,1,N
12,2,N
12,3,N
12,4,N
12,5,N
12,6,N
12,7,M
12,8,M
12,9,M
12,10,M
12,11,M
12,12,M
12,13,N
12,14,N
12,15,N
12,16,N
12,17,N
12,18,N
