11,19,
0,0,N
0,1,N
0,2,N
0,3,N
0,4,M
0,5,M
0,6,M
0,7,M
0,8,M
0,9,N
0,10,N
0,11,N
0,12,N
0,13,N
0,14,N
0,15,N
0,16,N
0,17,N
0,18,N
1,0,N
1,1,N
1,2,N
1,3,N
1,4,M
1,5,V
1,6,V
1,7,V
1,8,M
1,9,N
1,10,N
1,11,N
1,12,N
1,13,N
1,14,N
1,15,N
1,16,N
1,17,N
1,18,N
2,0,N
2,1,N
2,2,N
2,3,N
2,4,M
2,5,C
2,6,V
2,7,V
2,8,M
2,9,N
2,10,N
2,11,N
2,12,N
2,13,N
2,14,N
2,15,N
2,16,N
2,17,N
2,18,N
3,0,N
3,1,N
3,2,M
3,3,M
3,4,M
3,5,V
3,6,V
3,7,C
3,8,M
3,9,M
3,10,N
3,11,N
3,12,N
3,13,N
3,14,N
3,15,N
3,16,N
3,17,N
3,18,N
4,0,N
4,1,N
4,2,M
4,3,V
4,4,V
4,5,C
4,6,V
4,7,C
4,8,V
4,9,M
4,10,N
4,11,N
4,12,N
4,13,N
4,14,N
4,15,N
4,16,N
4,17,N
4,18,N
5,0,M
5,1,M
5,2,M
5,3,V
5,4,M
5,5,V
5,6,M
5,7,M
5,8,V
5,9,M
5,10,N
5,11,N
5,12,N
5,13,M
5,14,M
5,15,M
5,16,M
5,17,M
5,18,M
6,0,M
6,1,V
6,2,V
6,3,V
6,4,M
6,5,V
6,6,M
6,7,M
6,8,V
6,9,M
6,10,M
6,11,M
6,12,M
6,13,M
6,14,V
6,15,V
6,16,R
6,17,R
6,18,M
7,0,M
7,1,V
7,2,C
7,3,V
7,4,V
7,5,C
7,6,V
7,7,V
7,8,V
7,9,V
7,10,V
7,11,V
7,12,V
7,13,V
7,14,V
7,15,V
7,16,R
7,17,R
7,18,M
8,0,M
8,1,M
8,2,M
8,3,M
8,4,M
8,5,V
8,6,M
8,7,M
8,8,M
8,9,V
8,10,M
8,11,J
8,12,M
8,13,M
8,14,V
8,15,V
8,16,R
8,17,R
8,18,M
9,0,N
9,1,N
9,2,N
9,3,N
9,4,M
9,5,V
9,6,V
9,7,V
9,8,V
9,9,V
9,10,M
9,11,M
9,12,M
9,13,M
9,14,M
9,15,M
9,16,M
9,17,M
9,18,M
10,0,N
10,1,N
10,2,N
10,3,N
10,4,M
10,5,M
10,6,M
10,7,M
10,8,M
10,9,M
10,10,M
10,11,N
10,12,N
10,13,N
10,14,N
10,15,N
10,16,N
10,17,N
10,18,N
